Hogar,Sector,Zona,Comuna,DirCoordX,DirCoordY,Fecha,DiaAsig,TipoDia,Temporada,NumPer,NumVeh,NumBicAdulto,NumBicNino,Propiedad,MontoDiv,ImputadoDiv,MontoArr,ImputadoArr,IngresoHogar,Factor
123051,1,155,HUECHURABA,347855.976471189,6306606.64149464,2013-02-01 00:00:00.000000,viernes,1,2,4,0,0,1,1,NA,0,140000,0,500000,80.4762191772461
123061,1,154,HUECHURABA,342672.670010378,6307728.50332794,2013-10-11 00:00:00.000000,viernes,1,1,3,0,2,0,1,NA,0,200000,0,249510,120.142189025879
123071,1,150,HUECHURABA,344277.207331,6309421.22362,2013-10-12 00:00:00.000000,sábado,2,1,3,0,2,0,1,NA,0,200000,0,950914,135.526245117188
123080,1,155,HUECHURABA,347780.507425,6306458.54924,2013-06-05 00:00:00.000000,miércoles,1,1,4,1,2,2,1,NA,0,70000,0,1248361,69.659049987793
123091,1,148,HUECHURABA,349163.337666147,6305404.39766587,2013-09-30 00:00:00.000000,lunes,1,1,8,0,5,2,1,NA,0,150000,0,760724,152.766494750977
123101,1,148,HUECHURABA,349198.352352,6305602.36923,2013-09-30 00:00:00.000000,lunes,1,1,7,1,3,1,1,NA,0,130000,0,1849727,132.232437133789
123111,1,148,HUECHURABA,349215.535241,6305593.65506,2013-09-30 00:00:00.000000,lunes,1,1,4,0,2,0,1,NA,0,120000,0,554996,70.2506790161133
123121,1,150,HUECHURABA,344729.403254,6309292.35621,2013-03-14 00:00:00.000000,jueves,1,1,1,1,0,0,1,NA,0,900000,0,500000,72.9448394775391
123131,1,156,HUECHURABA,347824.416081904,6306895.96650323,2012-09-12 00:00:00.000000,miércoles,1,1,2,0,0,0,1,NA,0,120000,0,480000,143.282470703125
123142,1,148,HUECHURABA,348522.59352,6305877.50001,2013-06-08 00:00:00.000000,sábado,2,1,3,0,2,0,1,NA,0,80000,0,1142280,87.3214797973633
123151,1,144,HUECHURABA,347016.131613827,6305925.72242365,2012-09-12 00:00:00.000000,miércoles,1,1,3,1,1,0,1,NA,0,179511,1,320000,86.4440536499023
123161,1,150,HUECHURABA,344579.18097712,6307030.6705383,2013-04-21 00:00:00.000000,domingo,2,1,3,1,0,0,1,NA,0,250000,0,1501168,117.309562683105
123171,1,150,HUECHURABA,344231.937120887,6307019.21611468,2013-04-21 00:00:00.000000,domingo,2,1,5,1,0,0,1,NA,0,250000,0,440000,175.514556884766
123181,1,150,HUECHURABA,344231.937120887,6307019.21611468,2013-04-21 00:00:00.000000,domingo,2,1,3,1,0,0,1,NA,0,250000,0,1290876,117.309562683105
123191,1,149,HUECHURABA,348288.527027,6307446.88201,2012-10-07 00:00:00.000000,domingo,2,1,1,0,0,0,1,NA,0,100000,0,80000,56.426082611084
123200,1,149,HUECHURABA,348231.56249,6307522.99987,2013-06-05 00:00:00.000000,miércoles,1,1,4,0,0,0,1,NA,0,160000,0,750000,73.0042419433594
123211,1,150,HUECHURABA,344563.440943,6307670.95494,2013-10-10 00:00:00.000000,jueves,1,1,4,0,2,0,1,NA,0,120000,0,976948,109.031745910645
123220,1,150,HUECHURABA,344565.87116,6307659.74778,2013-10-10 00:00:00.000000,jueves,1,1,3,0,2,0,1,NA,0,140000,0,1271555,135.526245117188
123231,1,154,HUECHURABA,343870.46535061,6307526.93157888,2012-10-07 00:00:00.000000,domingo,2,1,1,0,0,0,1,NA,0,200000,0,100000,74.706184387207
123241,1,148,HUECHURABA,348357.712242098,6306211.72178343,2013-02-01 00:00:00.000000,viernes,1,2,2,0,0,0,5,NA,0,160000,0,250000,86.2533721923828
123251,1,145,HUECHURABA,347899.918749315,6305645.50208291,2013-03-12 00:00:00.000000,martes,1,1,3,0,0,0,5,NA,0,135000,0,900000,45.225227355957
123261,1,150,HUECHURABA,344109.67910402,6308515.80976237,2013-02-07 00:00:00.000000,jueves,1,2,5,1,0,0,3,NA,0,400000,0,1100000,175.514556884766
123271,1,150,HUECHURABA,344138.078701705,6308516.24283198,2013-02-07 00:00:00.000000,jueves,1,2,1,0,0,0,5,NA,0,151695,1,102968,84.2722778320313
123281,1,150,HUECHURABA,344267.999974162,6308518.75383562,2013-02-07 00:00:00.000000,jueves,1,2,1,0,0,0,5,NA,0,194532,1,1000000,84.2722778320313
123291,1,150,HUECHURABA,344341.797619943,6308434.04920881,2013-02-07 00:00:00.000000,jueves,1,2,1,0,0,0,5,NA,0,159126,1,105615,84.2722778320313
123301,1,151,HUECHURABA,342985,6307051,2012-10-07 00:00:00.000000,domingo,2,1,2,1,0,0,1,NA,0,250000,0,647283,68.3019332885742
123311,1,149,HUECHURABA,348229.153586,6307031.86757,2012-09-29 00:00:00.000000,sábado,2,1,4,1,1,0,1,NA,0,110000,0,300000,63.1913948059082
123321,1,145,HUECHURABA,348392.064574,6305672.24996,2013-04-26 00:00:00.000000,viernes,1,1,1,0,0,0,1,NA,0,150000,0,100000,28.1217212677002
123331,1,148,HUECHURABA,348115,6305996,2012-09-28 00:00:00.000000,viernes,1,1,3,1,1,0,1,NA,0,120000,0,634314,75.5842132568359
123340,1,155,HUECHURABA,347342.56304,6306519.97248,2013-06-08 00:00:00.000000,sábado,2,1,2,1,0,0,1,NA,0,90000,0,700000,85.526985168457
123351,1,144,HUECHURABA,347283.999781,6305618.49999,2013-06-07 00:00:00.000000,viernes,1,1,5,0,0,0,6,NA,0,80000,0,889645,149.418731689453
123361,1,154,HUECHURABA,342676.44933097,6307862.6608214,2012-09-12 00:00:00.000000,miércoles,1,1,5,0,1,0,1,NA,0,100000,0,350000,179.752578735352
123371,3,448,ÑUÑOA,349877.041444736,6296978.50388792,2012-09-29 00:00:00.000000,sábado,2,1,2,2,0,0,1,NA,0,130000,0,200000,144.434127807617
